[2025-05-10 15:48:48] Python version: Python 3.12.7
PyTorch version: 2.5.1
CUDA available: True
CUDA version: 12.4
[2025-05-10 15:48:54] GPU Information: NVIDIA A100 80GB PCIe
[2025-05-10 15:48:54] Running iteration 1 of 10000
model id 815792
LOSS 815792: 67.0301284790039
LOSS 815792: 2435.55322265625
LOSS 815792: 33.36543273925781
LOSS 815792: 18.659198760986328
LOSS 815792: 15.51922607421875
LOSS 815792: 13.814504623413086
LOSS 815792: 12.585470199584961
LOSS 815792: 11.568026542663574
LOSS 815792: 10.965700149536133
LOSS 815792: 10.410834312438965
LOSS 815792: 10.016098022460938
LOSS 815792: 9.719374656677246
LOSS 815792: 9.304551124572754
LOSS 815792: 9.019638061523438
LOSS 815792: 8.836540222167969
LOSS 815792: 8.659356117248535
LOSS 815792: 8.44278335571289
LOSS 815792: 8.1436767578125
LOSS 815792: 8.040178298950195
LOSS 815792: 7.845111846923828
LOSS 815792: 7.7041015625
LOSS 815792: 7.504009246826172
LOSS 815792: 7.475162506103516
LOSS 815792: 7.2699737548828125
LOSS 815792: 7.148719787597656
LOSS 815792: 7.091657638549805
LOSS 815792: 6.991353988647461
LOSS 815792: 6.907636642456055
LOSS 815792: 6.7753119468688965
LOSS 815792: 6.70036506652832
LOSS 815792: 6.618374347686768
LOSS 815792: 6.590387344360352
LOSS 815792: 6.47743034362793
LOSS 815792: 6.357670783996582
LOSS 815792: 6.3166890144348145
LOSS 815792: 6.240880012512207
LOSS 815792: 6.164283752441406
LOSS 815792: 6.1730804443359375
LOSS 815792: 6.096353530883789
LOSS 815792: 6.049553871154785
LOSS 815792: 5.947040557861328
LOSS 815792: 5.941567420959473
LOSS 815792: 5.944939136505127
LOSS 815792: 5.847933769226074
LOSS 815792: 5.86148738861084
LOSS 815792: 5.749098777770996
LOSS 815792: 5.6892828941345215
LOSS 815792: 5.691307067871094
LOSS 815792: 5.628863334655762
LOSS 815792: 5.569361209869385
LOSS 815792: 5.5626606941223145
LOSS 815792: 5.518794059753418
LOSS 815792: 5.547207832336426
LOSS 815792: 5.483279705047607
LOSS 815792: 5.446100234985352
LOSS 815792: 5.388874053955078
LOSS 815792: 5.399497032165527
LOSS 815792: 5.384241580963135
LOSS 815792: 5.323611259460449
LOSS 815792: 5.284463405609131
LOSS 815792: 5.281284809112549
LOSS 815792: 5.231877326965332
LOSS 815792: 5.199872016906738
LOSS 815792: 5.224356651306152
LOSS 815792: 5.171090126037598
LOSS 815792: 5.136597633361816
LOSS 815792: 5.113947868347168
LOSS 815792: 5.098824977874756
LOSS 815792: 5.085972785949707
LOSS 815792: 5.0453667640686035
LOSS 815792: 5.049675941467285
LOSS 815792: 5.028359413146973
LOSS 815792: 5.003213882446289
LOSS 815792: 4.9872612953186035
LOSS 815792: 4.945427894592285
LOSS 815792: 4.918515205383301
LOSS 815792: 4.8754143714904785
LOSS 815792: 4.870721817016602
LOSS 815792: 4.871777534484863
LOSS 815792: 4.870452880859375
LOSS 815792: 4.81436014175415
LOSS 815792: 4.818294048309326
LOSS 815792: 4.818818092346191
LOSS 815792: 4.772655963897705
LOSS 815792: 4.789463520050049
LOSS 815792: 4.761683464050293
LOSS 815792: 4.698417663574219
LOSS 815792: 4.695219993591309
LOSS 815792: 4.68467903137207
LOSS 815792: 4.661991119384766
LOSS 815792: 4.6836748123168945
LOSS 815792: 4.62571382522583
LOSS 815792: 4.648693084716797
LOSS 815792: 4.603196144104004
LOSS 815792: 4.619938850402832
LOSS 815792: 4.587146759033203
LOSS 815792: 4.580285549163818
LOSS 815792: 4.552367687225342
LOSS 815792: 4.572288513183594
LOSS 815792: 4.5150861740112305
LOSS 815792: 4.555950164794922
LOSS 815792: 4.4975199699401855
LOSS 815792: 4.483053207397461
LOSS 815792: 4.463990688323975
LOSS 815792: 4.463207244873047
LOSS 815792: 4.5094709396362305
LOSS 815792: 4.4486589431762695
LOSS 815792: 4.42924165725708
LOSS 815792: 4.4133477210998535
LOSS 815792: 4.40059757232666
LOSS 815792: 4.404388904571533
LOSS 815792: 4.366627216339111
LOSS 815792: 4.374037742614746
LOSS 815792: 4.33522367477417
LOSS 815792: 4.262392044067383
LOSS 815792: 4.326387405395508
LOSS 815792: 4.335097312927246
LOSS 815792: 4.302396297454834
LOSS 815792: 4.265388488769531
LOSS 815792: 4.256045341491699
LOSS 815792: 4.269618511199951
LOSS 815792: 4.216175556182861
LOSS 815792: 4.249848365783691
LOSS 815792: 4.236942768096924
LOSS 815792: 4.233696937561035
LOSS 815792: 4.176030158996582
LOSS 815792: 4.248302936553955
LOSS 815792: 4.157042503356934
LOSS 815792: 4.182370185852051
LOSS 815792: 4.187865734100342
LOSS 815792: 4.13553524017334
LOSS 815792: 4.148583889007568
LOSS 815792: 4.12033748626709
LOSS 815792: 4.103917598724365
LOSS 815792: 4.138095855712891
LOSS 815792: 4.101702690124512
LOSS 815792: 4.099658489227295
LOSS 815792: 4.075510025024414
LOSS 815792: 4.036312580108643
LOSS 815792: 4.056764602661133
LOSS 815792: 4.033211708068848
LOSS 815792: 4.031402587890625
LOSS 815792: 4.023287773132324
LOSS 815792: 4.014936447143555
LOSS 815792: 4.011720657348633
LOSS 815792: 3.991530656814575
LOSS 815792: 3.983548879623413
LOSS 815792: 3.988497257232666
LOSS 815792: 3.987638473510742
LOSS 815792: 3.936028242111206
LOSS 815792: 3.959256172180176
LOSS 815792: 3.9616448879241943
LOSS 815792: 3.906684637069702
LOSS 815792: 3.892153263092041
LOSS 815792: 3.9165687561035156
LOSS 815792: 3.894669532775879
LOSS 815792: 3.911255359649658
LOSS 815792: 3.889183759689331
LOSS 815792: 3.892238140106201
LOSS 815792: 3.881438732147217
LOSS 815792: 3.87382173538208
LOSS 815792: 3.8326430320739746
LOSS 815792: 3.873959541320801
LOSS 815792: 3.829589366912842
LOSS 815792: 3.8431334495544434
LOSS 815792: 3.8382039070129395
LOSS 815792: 3.8446571826934814
LOSS 815792: 3.8384547233581543
LOSS 815792: 3.8125150203704834
LOSS 815792: 3.795578718185425
LOSS 815792: 3.7678170204162598
LOSS 815792: 3.777557373046875
LOSS 815792: 3.766782760620117
LOSS 815792: 3.7682998180389404
LOSS 815792: 3.7582058906555176
LOSS 815792: 3.7393643856048584
LOSS 815792: 3.752816915512085
LOSS 815792: 3.7377302646636963
LOSS 815792: 3.7199814319610596
LOSS 815792: 3.7387523651123047
LOSS 815792: 3.6814610958099365
LOSS 815792: 3.7131457328796387
LOSS 815792: 3.6847167015075684
LOSS 815792: 3.674348831176758
LOSS 815792: 3.6772451400756836
LOSS 815792: 3.696558713912964
LOSS 815792: 3.6621623039245605
